Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
s000.kp,50,14778,20995,14721,29,True,0.0000,OPTIMAL
s001.kp,50,13598,19836,13585,29,True,0.0000,OPTIMAL
s000.kp,100,22545,46537,22519,67,True,0.0000,OPTIMAL
s001.kp,100,22714,41049,22689,65,True,0.0000,OPTIMAL
s000.kp,200,50310,84317,50302,129,True,0.0000,OPTIMAL
s001.kp,200,48873,78918,48841,124,True,0.0011,OPTIMAL
s000.kp,500,118694,207992,118693,314,True,0.0000,OPTIMAL
s001.kp,500,131012,202841,131008,306,True,0.0000,OPTIMAL
s000.kp,1000,252480,400811,252480,615,True,0.0020,OPTIMAL
s001.kp,1000,243069,418472,243069,629,True,0.0039,OPTIMAL
s000.kp,2000,502731,808902,502731,1229,True,0.0010,OPTIMAL
s001.kp,2000,493166,810065,493164,1243,True,0.0010,OPTIMAL
s000.kp,5000,1231707,2041002,1231707,3121,True,0.0140,OPTIMAL
s001.kp,5000,1226932,2036236,1226932,3113,True,0.0000,OPTIMAL
