Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
s000.kp,50,14239,15768,14232,26,True,0.0010,OPTIMAL
s001.kp,50,11793,13214,11791,29,True,0.0000,OPTIMAL
s000.kp,100,29017,31064,29013,50,True,0.0000,OPTIMAL
s001.kp,100,25391,27624,25389,51,True,0.0000,OPTIMAL
s000.kp,200,51563,56976,51563,106,True,0.0009,OPTIMAL
s001.kp,200,48106,53514,48102,102,True,0.0021,OPTIMAL
s000.kp,500,127278,139258,127276,255,True,0.0011,OPTIMAL
s001.kp,500,123764,138098,123764,272,True,0.0049,OPTIMAL
s000.kp,1000,245972,273052,245972,520,True,0.0064,OPTIMAL
s001.kp,1000,254777,279824,254777,525,True,0.0009,OPTIMAL
s000.kp,2000,498452,552506,498452,1036,True,0.0020,OPTIMAL
s001.kp,2000,497847,550884,497846,1028,True,0.0080,OPTIMAL
s000.kp,5000,1249257,1378225,1249257,2589,True,0.0039,OPTIMAL
s001.kp,5000,1240984,1369664,1240984,2583,True,0.0000,OPTIMAL
