Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
s000.kp,50,14239,17539,14239,33,True,0.0463,OPTIMAL
s001.kp,50,11793,15293,11793,35,True,0.3715,OPTIMAL
s000.kp,100,29017,35617,29017,66,True,0.2357,OPTIMAL
s001.kp,100,25391,32291,25391,69,True,2.7408,OPTIMAL
s000.kp,200,51563,65363,51563,138,False,180.0201,TIME_LIMIT
s001.kp,200,48106,62206,48106,141,True,43.0583,OPTIMAL
s000.kp,500,127278,162178,127278,349,False,180.0667,TIME_LIMIT
s001.kp,500,123764,158890,123590,353,False,180.0326,TIME_LIMIT
s000.kp,1000,245972,316372,245972,704,False,180.0187,TIME_LIMIT
s001.kp,1000,254777,324577,254777,698,False,180.0261,TIME_LIMIT
s000.kp,2000,498452,638545,498045,1405,False,180.0001,TIME_LIMIT
s001.kp,2000,497847,637871,497371,1405,False,179.9949,TIME_LIMIT
s000.kp,5000,1249257,1599288,1248688,3506,False,179.9919,TIME_LIMIT
s001.kp,5000,1240984,1593124,1240724,3524,False,179.9996,TIME_LIMIT
