Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
s000.kp,50,16714,14914,16714,18,True,4.4543,OPTIMAL
s001.kp,50,14268,12691,14191,15,True,0.1057,OPTIMAL
s000.kp,100,33968,30468,33968,35,True,0.0081,OPTIMAL
s001.kp,100,30342,27042,30342,33,False,180.0141,TIME_LIMIT
s000.kp,200,61464,54964,61464,65,True,0.0299,OPTIMAL
s001.kp,200,58007,51707,58007,63,False,179.9960,TIME_LIMIT
s000.kp,500,152031,136031,152031,160,False,180.0459,TIME_LIMIT
s001.kp,500,148516,132916,148516,156,False,180.0156,TIME_LIMIT
s000.kp,1000,295477,263977,295477,315,False,180.0482,TIME_LIMIT
s001.kp,1000,304282,272157,304057,319,False,180.0140,TIME_LIMIT
s000.kp,2000,597462,534014,597114,631,False,180.0163,TIME_LIMIT
s001.kp,2000,596856,533259,596359,631,False,180.0150,TIME_LIMIT
s000.kp,5000,1496782,1338091,1496591,1585,False,180.0177,TIME_LIMIT
s001.kp,5000,1488508,1330963,1487863,1569,False,180.0156,TIME_LIMIT
