Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
s000.kp,50,14239,17556,14238,33,True,0.0299,OPTIMAL
s001.kp,50,11793,15308,11792,35,True,0.2271,OPTIMAL
s000.kp,100,29017,35611,29016,66,True,0.0654,OPTIMAL
s001.kp,100,25391,32284,25391,69,True,0.7368,OPTIMAL
s000.kp,200,51563,65385,51563,138,False,180.0032,TIME_LIMIT
s001.kp,200,48106,62209,48106,141,True,2.2842,OPTIMAL
s000.kp,500,127278,162154,127278,349,False,179.9929,TIME_LIMIT
s001.kp,500,123764,159087,123718,353,False,180.0212,TIME_LIMIT
s000.kp,1000,245972,316415,245972,704,True,0.4296,OPTIMAL
s001.kp,1000,254777,324609,254777,698,True,59.1784,OPTIMAL
s000.kp,2000,498452,638771,498200,1405,False,180.0150,TIME_LIMIT
s001.kp,2000,497847,638075,497546,1405,False,180.0046,TIME_LIMIT
s000.kp,5000,1249257,1599762,1249043,3506,False,180.0093,TIME_LIMIT
s001.kp,5000,1240984,1593407,1240984,3524,False,180.0035,TIME_LIMIT
