Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
s000.kp,50,14239,14239,14239,24,True,0.0000,OPTIMAL
s001.kp,50,11793,11793,11793,23,True,0.0000,OPTIMAL
s000.kp,100,29017,29017,29017,49,True,0.0000,OPTIMAL
s001.kp,100,25391,25391,25391,50,True,0.0000,OPTIMAL
s000.kp,200,51563,51563,51563,88,True,0.0010,OPTIMAL
s001.kp,200,48106,48106,48106,94,True,0.0000,OPTIMAL
s000.kp,500,127278,127278,127278,242,True,0.0000,OPTIMAL
s001.kp,500,123764,123764,123764,246,True,0.0010,OPTIMAL
s000.kp,1000,245972,245972,245972,477,True,0.0068,OPTIMAL
s001.kp,1000,254777,254777,254777,510,True,0.0009,OPTIMAL
s000.kp,2000,498452,498452,498452,998,True,0.0048,OPTIMAL
s001.kp,2000,497847,497847,497847,968,True,0.0000,OPTIMAL
s000.kp,5000,1249257,1249257,1249257,2485,True,0.0094,OPTIMAL
s001.kp,5000,1240984,1240984,1240984,2466,True,0.0030,OPTIMAL
