Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
s000.kp,50,2476727,19676,2401482,24,True,0.1493,OPTIMAL
s001.kp,50,2476607,17920,2401186,24,True,0.0424,OPTIMAL
s000.kp,100,4952745,39791,4902253,49,True,20.1171,OPTIMAL
s001.kp,100,4952761,37000,4902351,49,True,6.9891,OPTIMAL
s000.kp,200,9906016,75678,9904900,99,True,0.0000,OPTIMAL
s001.kp,200,9905870,72399,9904984,99,True,0.0000,OPTIMAL
s000.kp,500,24764323,189769,24712055,247,False,180.0150,TIME_LIMIT
s001.kp,500,24765570,187312,24712830,247,False,180.0255,TIME_LIMIT
s000.kp,1000,49530184,371246,49525319,495,True,0.1141,OPTIMAL
s001.kp,1000,49529232,379545,49523374,495,True,5.2823,OPTIMAL
s000.kp,2000,99060132,748457,99050305,990,False,180.0257,TIME_LIMIT
s001.kp,2000,99059172,746520,99050111,990,False,180.0709,TIME_LIMIT
s000.kp,5000,247647787,1872056,247621933,2475,False,180.0113,TIME_LIMIT
s001.kp,5000,247647324,1871193,247621955,2475,False,180.0145,TIME_LIMIT
