Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
s000.kp,50,4569,13472,4569,29,True,0.0109,OPTIMAL
s001.kp,50,6638,11948,6578,31,True,3.8103,OPTIMAL
s000.kp,100,8751,24228,8748,57,False,180.0198,TIME_LIMIT
s001.kp,100,11944,22147,11914,66,False,180.0424,TIME_LIMIT
s000.kp,200,17280,47836,17274,115,False,180.0072,TIME_LIMIT
s001.kp,200,25949,43417,25921,134,False,180.1193,TIME_LIMIT
s000.kp,500,42900,114616,42898,292,False,180.0045,TIME_LIMIT
s001.kp,500,63375,119279,63365,339,False,180.0231,TIME_LIMIT
s000.kp,1000,84660,228624,84656,598,False,180.0156,TIME_LIMIT
s001.kp,1000,120522,232145,120497,664,False,180.0104,TIME_LIMIT
s000.kp,2000,168004,459560,168004,1193,False,179.9983,TIME_LIMIT
s001.kp,2000,254127,443575,254104,1336,False,179.9975,TIME_LIMIT
s000.kp,5000,413032,1131684,413019,2965,False,180.0020,TIME_LIMIT
s001.kp,5000,633706,1097022,633696,3307,False,180.0200,TIME_LIMIT
