Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
s000.kp,50,11459,10354,11452,25,True,5.2507,OPTIMAL
s001.kp,50,6502,15276,6437,35,True,3.5177,OPTIMAL
s000.kp,100,20835,20550,20824,48,True,0.0060,OPTIMAL
s001.kp,100,12015,27478,11951,69,False,180.0622,TIME_LIMIT
s000.kp,200,41138,40575,41116,97,True,36.2176,OPTIMAL
s001.kp,200,23774,60080,23770,144,False,180.0640,TIME_LIMIT
s000.kp,500,100079,98713,100076,241,False,180.0401,TIME_LIMIT
s001.kp,500,64615,145888,64611,352,False,180.0400,TIME_LIMIT
s000.kp,1000,198695,196050,198664,462,False,179.9891,TIME_LIMIT
s001.kp,1000,125509,277084,125478,694,False,180.0273,TIME_LIMIT
s000.kp,2000,397184,391950,397176,929,False,180.0158,TIME_LIMIT
s001.kp,2000,241910,587212,241874,1411,False,180.0215,TIME_LIMIT
s000.kp,5000,977374,964500,977360,2335,False,180.0145,TIME_LIMIT
s001.kp,5000,598731,1464912,598674,3551,False,180.0219,TIME_LIMIT
