Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
s000.kp,50,11546,28440,11540,22,False,180.0071,TIME_LIMIT
s001.kp,50,6514,27261,6461,35,True,3.2354,OPTIMAL
s000.kp,100,20956,51656,20956,53,True,36.0262,OPTIMAL
s001.kp,100,12009,49204,12004,67,False,180.0817,TIME_LIMIT
s000.kp,200,41289,101888,41288,101,False,180.0261,TIME_LIMIT
s001.kp,200,23707,104200,23700,143,False,179.3951,TIME_LIMIT
s000.kp,500,99998,245128,99928,258,False,180.0204,TIME_LIMIT
s001.kp,500,64586,263953,64553,353,False,180.0323,TIME_LIMIT
s000.kp,1000,198807,488672,198772,527,False,180.0188,TIME_LIMIT
s001.kp,1000,125509,504878,125478,694,False,180.0211,TIME_LIMIT
s000.kp,2000,397271,979064,397264,1047,False,180.0077,TIME_LIMIT
s001.kp,2000,241940,1030634,241934,1411,False,180.0190,TIME_LIMIT
s000.kp,5000,977299,2409352,977252,2607,False,180.0074,TIME_LIMIT
s001.kp,5000,598767,2562546,598746,3551,False,180.0137,TIME_LIMIT
