Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
s000.kp,50,14238,21338,14238,33,True,0.0085,OPTIMAL
s001.kp,50,11790,19390,11790,35,True,0.5168,OPTIMAL
s000.kp,100,29016,43316,29016,65,True,4.3873,OPTIMAL
s001.kp,100,25386,40686,25386,69,True,0.0215,OPTIMAL
s000.kp,200,51558,81658,51558,136,True,67.7703,OPTIMAL
s001.kp,200,48102,79202,48102,139,True,11.4546,OPTIMAL
s000.kp,500,127278,203778,127278,342,False,180.0285,TIME_LIMIT
s001.kp,500,123762,201662,123762,348,True,108.2195,OPTIMAL
s000.kp,1000,245970,399170,245970,693,False,180.0071,TIME_LIMIT
s001.kp,1000,254772,409472,254772,687,False,180.0042,TIME_LIMIT
s000.kp,2000,498450,806150,498450,1382,False,180.0183,TIME_LIMIT
s001.kp,2000,497844,807944,497844,1386,False,180.0117,TIME_LIMIT
s000.kp,5000,1249254,2019632,1249132,3449,False,180.0067,TIME_LIMIT
s001.kp,5000,1240980,2017049,1240849,3475,False,180.0265,TIME_LIMIT
