Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
s000.kp,50,14239,14229,14238,24,True,3.9403,OPTIMAL
s001.kp,50,11793,11784,11792,23,True,0.0985,OPTIMAL
s000.kp,100,29017,29001,29015,46,False,180.0330,TIME_LIMIT
s001.kp,100,25391,25377,25390,44,True,46.3371,OPTIMAL
s000.kp,200,51563,51540,51562,84,False,180.0346,TIME_LIMIT
s001.kp,200,48106,48087,48105,92,False,180.0176,TIME_LIMIT
s000.kp,500,127278,127239,127277,209,False,180.0263,TIME_LIMIT
s001.kp,500,123764,123714,123763,216,False,180.0260,TIME_LIMIT
s000.kp,1000,245972,245877,245972,412,False,180.0176,TIME_LIMIT
s001.kp,1000,254777,254682,254777,425,False,180.0045,TIME_LIMIT
s000.kp,2000,498452,498255,498450,840,False,180.0221,TIME_LIMIT
s001.kp,2000,497847,497640,497847,854,False,180.0134,TIME_LIMIT
s000.kp,5000,1249257,1248798,1249255,2122,False,180.0080,TIME_LIMIT
s001.kp,5000,1240984,1240470,1240982,2121,False,180.0051,TIME_LIMIT
